driving_experience,type_of_vehicle,lanes_or_medians,road_allignment,types_of_junction,road_surface_conditions,light_conditions,weather_conditions,number_of_vehicles_involved,vehicle_movement,pedestrian_movement,accident_severity
Above 10yr,Stationwagen,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,,Moving Backward,Not a Pedestrian,Slight Injury
Below 1yr,Lorry (41?100Q),other,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,,Reversing,Not a Pedestrian,Slight Injury
Below 1yr,Lorry (11?40Q),Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Motorcycle,Undivided Two way,Tangent road with flat terrain,T Shape,Dry,Daylight,Normal,,Other,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Stopping,Not a Pedestrian,Slight Injury
Below 1yr,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Other,Not a Pedestrian,Serious Injury
Above 10yr,Taxi,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Dry,Daylight,Unknown,,Other,Not a Pedestrian,Slight Injury
Below 1yr,Long lorry,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Dry,Daylight,Unknown,,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Serious Injury
Below 1yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights unlit,Normal,,Going straight,Not a Pedestrian,Serious Injury
1-2yr,Lorry (41?100Q),One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Getting off,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Pick up upto 10Q,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Entering a junction,Not a Pedestrian,Slight Injury
5-10yr,Stationwagen,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Dry,Darkness - lights lit,Normal,,Other,Not a Pedestrian,Slight Injury
5-10yr,Public (12 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,,Entering a junction,Not a Pedestrian,Slight Injury
Above 10yr,Long lorry,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Moving Backward,Not a Pedestrian,Slight Injury
5-10yr,Public (13?45 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Other,Not a Pedestrian,Serious Injury
Below 1yr,Pick up upto 10Q,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Turnover,Not a Pedestrian,Slight Injury
5-10yr,Stationwagen,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Long lorry,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (13?45 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Wet or damp,Daylight,Raining,,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Public (13?45 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Wet or damp,Daylight,Raining,,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Lorry (11?40Q),other,Tangent road with flat terrain,Other,Dry,Daylight,Normal,,Getting off,Not a Pedestrian,Serious Injury
1-2yr,Lorry (11?40Q),Double carriageway (median),Tangent road with flat terrain,Other,Dry,Daylight,Normal,,Getting off,Not a Pedestrian,Serious Injury
2-5yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Getting off,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Double carriageway (median),Gentle horizontal curve,Y Shape,Dry,Daylight,Normal,,Moving Backward,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
Above 10yr,Automobile,Double carriageway (median),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Long lorry,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,,Waiting to go,Not a Pedestrian,Slight Injury
Above 10yr,Other,Two-way (divided with broken lines road marking),Gentle horizontal curve,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Serious Injury
1-2yr,Stationwagen,Double carriageway (median),Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining,,Moving Backward,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Special vehicle,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,,Reversing,Not a Pedestrian,Serious Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,,Reversing,Not a Pedestrian,Slight Injury
2-5yr,Public (> 45 seats),Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,,Waiting to go,Not a Pedestrian,Slight Injury
Above 10yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,,Turnover,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Serious Injury
Above 10yr,Pick up upto 10Q,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,,Getting off,Not a Pedestrian,Serious Injury
5-10yr,Pick up upto 10Q,other,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,other,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Undivided Two way,Sharp reverse curve,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Gentle horizontal curve,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Other,Tangent road with mountainous terrain and,No junction,Wet or damp,Darkness - lights lit,Normal,,Getting off,Not a Pedestrian,Slight Injury
Below 1yr,Other,other,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Windy,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Gentle horizontal curve,Y Shape,Wet or damp,Darkness - lights lit,Windy,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Stationwagen,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Lorry (41?100Q),One way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,,Getting off,Not a Pedestrian,Slight Injury
Above 10yr,Public (12 seats),Undivided Two way,Tangent road with flat terrain,T Shape,Wet or damp,Darkness - lights lit,Other,,Reversing,Not a Pedestrian,Serious Injury
Above 10yr,Other,other,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Normal,,Getting off,Not a Pedestrian,Serious Injury
1-2yr,Pick up upto 10Q,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Special vehicle,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Public (13?45 seats),Undivided Two way,Tangent road with flat terrain,Other,Wet or damp,Darkness - lights lit,Other,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Undivided Two way,Gentle horizontal curve,Y Shape,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,,Moving Backward,Not a Pedestrian,Slight Injury
5-10yr,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,,Other,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (11?40Q),Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Wet or damp,Daylight,Raining,,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Automobile,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Moving Backward,Not a Pedestrian,Slight Injury
2-5yr,Public (13?45 seats),Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining,,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Pick up upto 10Q,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Serious Injury
2-5yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,,Other,Not a Pedestrian,Slight Injury
5-10yr,Special vehicle,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Public (> 45 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,,Reversing,Not a Pedestrian,Serious Injury
5-10yr,Taxi,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Other,Undivided Two way,Tangent road with flat terrain,Other,Dry,Daylight,Normal,,Other,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Unknown,,Reversing,Not a Pedestrian,Slight Injury
Below 1yr,Motorcycle,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,,Moving Backward,Not a Pedestrian,Slight Injury
1-2yr,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Crossing,Dry,Darkness - lights lit,Normal,,Moving Backward,Not a Pedestrian,Slight Injury
Above 10yr,Taxi,Two-way (divided with broken lines road marking),Tangent road with rolling terrain,Crossing,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Other,Not a Pedestrian,Slight Injury
Above 10yr,Other,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Motorcycle,other,Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Other,Not a Pedestrian,Slight Injury
5-10yr,Public (12 seats),Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Windy,,Moving Backward,Not a Pedestrian,Slight Injury
5-10yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Long lorry,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Unknown,,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Public (13?45 seats),Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,,Going straight,Unknown or other,Slight Injury
5-10yr,Automobile,Undivided Two way,Tangent road with flat terrain,O Shape,Dry,Daylight,Unknown,,Moving Backward,Not a Pedestrian,Slight Injury
2-5yr,Pick up upto 10Q,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Other,Not a Pedestrian,Serious Injury
Below 1yr,Stationwagen,One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,,Other,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Public (13?45 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (11?40Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (11?40Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Long lorry,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Dry,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,Undivided Two way,Tangent road with mountainous terrain and,No junction,Wet or damp,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Stationwagen,Undivided Two way,Tangent road with mountainous terrain and,No junction,Wet or damp,Daylight,Normal,,Going straight,Not a Pedestrian,Slight Injury
